Step,Action,CPU,Swap,Load,RAM,IOwait,Latency,Reward
0,4,0.7344962358474731,0.0,0.49722716212272644,0.5696496963500977,0.3262133002281189,0.3732771575450897,0.8770807385444641
1,2,0.7319791316986084,0.0,0.5245463252067566,0.5638854503631592,0.2788618206977844,0.3410895764827728,0.888070285320282
2,2,0.7304598093032837,0.0,0.510712206363678,0.5303769111633301,0.2089683711528778,0.34090012311935425,0.9039071798324585
3,2,0.7379912734031677,0.007368534337729216,0.5085646510124207,0.5560543537139893,0.13448438048362732,0.3658014237880707,0.9135322570800781
4,2,0.7397429943084717,0.028044728562235832,0.5296685695648193,0.5486965179443359,0.10124622285366058,0.3906831443309784,0.9129881858825684
5,2,0.7210866212844849,0.012882706709206104,0.5232970118522644,0.5418959856033325,0.10138650238513947,0.37950631976127625,0.9218280911445618
6,2,0.7420631051063538,0.04241441562771797,0.5320678353309631,0.5385449528694153,0.019349096342921257,0.3711353838443756,0.9228193163871765
7,2,0.7398507595062256,0.06260477006435394,0.5258825421333313,0.5445874333381653,0.0,0.36021479964256287,0.9231745600700378
8,2,0.7379533648490906,0.08906570822000504,0.5154238343238831,0.521849513053894,0.0,0.3483623266220093,0.9233288168907166
9,4,0.7743104100227356,0.0,0.5310871601104736,0.5126855373382568,0.019746480509638786,0.3557041883468628,0.9190277457237244
10,3,0.7735562920570374,0.0034408264327794313,0.516007661819458,0.5009539723396301,0.02096688747406006,0.24852733314037323,0.9311355352401733
11,4,0.7927328944206238,6.106017099227756e-05,0.5102870464324951,0.4921194314956665,0.0028806577902287245,0.25869569182395935,0.9252757430076599
12,2,0.7861809730529785,0.009785667061805725,0.4722084403038025,0.48012828826904297,0.0,0.20915965735912323,0.9322511553764343
13,4,0.79432612657547,0.0,0.4740309715270996,0.46981003880500793,0.000580610882025212,0.19949489831924438,0.9317526817321777
14,4,0.7719092965126038,0.0,0.46656399965286255,0.46468713879585266,0.007698324974626303,0.20197069644927979,0.9382301568984985
15,4,0.7811142206192017,0.028269238770008087,0.46536368131637573,0.47076353430747986,0.0,0.22777748107910156,0.9300610423088074
